"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","69","74","6","39.783440","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","56","62","2","28.588436","0","0"
"Globals","0","2851","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","16","1","9.146109","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","4.050042","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","17.105940","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","5.697482","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","5.760464","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.245322","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.254228","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","5.823263","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","7.712907","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","66","70","1","63.185333","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","92","96","1","80.414612","0","0"
"/Game/colored_field/Mtl93.Mtl93","0","21","21","1","15.865344","0","0"
"/Game/Mtlb5.Mtlb5","0","21","21","1","15.351528","0","0"
"/Game/colored_field/Mtla9.Mtla9","0","21","21","1","15.623413","0","0"
"/Game/ThirdPersonCPP/Blueprints/NewFolder2/MTL6.MTL6","0","33","33","1","22.054111","0","0"
"/Game/ThirdPersonCPP/Blueprints/NewFolder2/MTL17.MTL17","0","24","24","1","15.006547","0","0"
"/Game/Mtl96.Mtl96","0","33","33","1","23.752367","0","0"
"/Game/Mtl64.Mtl64","0","33","33","1","24.773434","0","0"
"/Game/Mtl93.Mtl93","0","43","45","1","29.732355","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","550","598","1","249.620010","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","90","1","42.498993","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","79.823074","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.090289","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","4.280212","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","4.326711","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","15.683128","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","4.709166","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.188878","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","9.072989","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","4.808425","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","52","1","30.607494","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","44","44","1","85.520851","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","18","18","1","6.566505","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","23","23","1","8.461039","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","133","133","1","86.730103","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","991","1015","1","420.206512","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","33","35","1","18.368782","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","6.325397","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","3.692244","0","0"
"/Game/UI/NewMediaTexture_Mat1.NewMediaTexture_Mat1","0","12","12","1","8.610662","0","0"
"/Game/ThirdPersonCPP/Blueprints/MTL6.MTL6","0","33","33","1","21.120443","0","0"
"/Game/Mtl6.Mtl6","0","33","33","1","22.428322","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","21","21","1","16.322918","0","0"
"/Game/Mtl97.Mtl97","0","21","21","1","16.696508","0","0"
"/Game/colored_field/Mtlb5.Mtlb5","0","21","21","1","16.694008","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","1.102591","0","0"
